Timestamp,Event,Price,Confidence,PnL,Balance
2026-01-15 00:21:01,OPEN_SHORT,96678.17,0.6019,0.00,10000.00
2026-01-15 00:25:03,STOP_LOSS,96890.23,0.3965,-2.19,9997.81
2026-01-15 00:31:06,OPEN_LONG,96733.23,0.6315,0.00,9997.81
2026-01-15 00:32:16,AI_FLIP_SELL,96708.34,0.6095,-0.26,9997.55
2026-01-15 00:35:02,OPEN_LONG,96837.02,0.6002,0.00,9997.55
2026-01-15 00:39:08,AI_FLIP_SELL,96821.91,0.6012,-0.16,9997.39
2026-01-15 00:39:27,OPEN_LONG,96860.56,0.6007,0.00,9997.39
2026-01-15 00:42:10,AI_FLIP_SELL,96918.93,0.6127,0.60,9998.00
2026-01-15 00:45:22,OPEN_LONG,97009.99,0.6020,0.00,9998.00
2026-01-15 00:56:03,AI_FLIP_SELL,97320.68,0.6005,3.20,10001.20
2026-01-15 00:56:34,OPEN_LONG,97315.28,0.6048,0.00,10001.20
2026-01-15 00:59:15,AI_FLIP_SELL,97431.64,0.6058,1.20,10002.39
2026-01-15 01:08:08,OPEN_SHORT,97165.67,0.6036,0.00,10002.39
2026-01-15 01:10:13,STOP_LOSS,97418.45,0.4202,-2.60,9999.79
2026-01-15 01:16:49,OPEN_LONG,97412.39,0.6008,0.00,9999.79
2026-01-15 01:18:13,AI_FLIP_SELL,97414.38,0.6031,0.02,9999.81
2026-01-15 01:18:54,OPEN_LONG,97386.57,0.6060,0.00,9999.81
2026-01-15 01:23:30,AI_FLIP_SELL,97342.76,0.6002,-0.45,9999.36
2026-01-15 01:24:09,OPEN_LONG,97316.42,0.6005,0.00,9999.36
2026-01-15 01:25:12,AI_FLIP_SELL,97285.21,0.6034,-0.32,9999.04
2026-01-15 01:29:01,OPEN_LONG,97279.48,0.6022,0.00,9999.04
2026-01-15 01:35:02,AI_FLIP_SELL,97289.99,0.6031,0.11,9999.15
2026-01-15 01:35:19,OPEN_LONG,97332.0,0.6079,0.00,9999.15
2026-01-15 01:41:02,TAKE_PROFIT,97722.26,0.5704,4.01,10003.16
2026-01-15 01:42:20,OPEN_LONG,97718.22,0.6120,0.00,10003.16
2026-01-15 01:43:30,AI_FLIP_SELL,97665.35,0.6014,-0.54,10002.62
2026-01-15 01:43:35,OPEN_LONG,97700.0,0.6065,0.00,10002.62
2026-01-15 01:45:14,AI_FLIP_SELL,97582.04,0.6041,-1.21,10001.41
2026-01-15 01:46:11,OPEN_SHORT,97516.88,0.6133,0.00,10001.41
2026-01-15 01:47:53,AI_FLIP_BUY,97455.59,0.6154,0.63,10002.04
2026-01-15 01:48:43,OPEN_LONG,97528.51,0.6021,0.00,10002.04
2026-01-15 01:57:13,AI_FLIP_SELL,97438.93,0.6044,-0.92,10001.12
2026-01-15 01:58:15,OPEN_SHORT,97326.56,0.6057,0.00,10001.12
2026-01-15 02:01:18,AI_FLIP_BUY,97380.16,0.6039,-0.55,10000.57
2026-01-15 02:01:35,OPEN_LONG,97424.56,0.6091,0.00,10000.57
2026-01-15 02:02:12,AI_FLIP_SELL,97469.99,0.6028,0.47,10001.04
2026-01-15 02:04:21,OPEN_LONG,97538.01,0.6353,0.00,10001.04
2026-01-15 02:07:13,AI_FLIP_SELL,97484.98,0.6056,-0.54,10000.49
2026-01-15 02:07:23,OPEN_LONG,97485.62,0.6206,0.00,10000.49
2026-01-15 02:12:25,AI_FLIP_SELL,97696.27,0.6014,2.16,10002.65
2026-01-15 02:14:31,OPEN_SHORT,97592.41,0.6016,0.00,10002.65
2026-01-15 02:15:33,AI_FLIP_BUY,97506.51,0.6002,0.88,10003.53
2026-01-15 02:18:20,OPEN_LONG,97533.92,0.6040,0.00,10003.53
2026-01-15 02:20:58,AI_FLIP_SELL,97434.58,0.6271,-1.02,10002.52
2026-01-15 02:21:05,OPEN_LONG,97408.19,0.6023,0.00,10002.52
2026-01-15 02:24:47,AI_FLIP_SELL,97519.14,0.6017,1.14,10003.66
2026-01-15 02:26:40,OPEN_LONG,97507.73,0.6074,0.00,10003.66
2026-01-15 02:29:58,AI_FLIP_SELL,97644.42,0.6089,1.40,10005.06
2026-01-15 02:33:36,OPEN_LONG,97526.87,0.6135,0.00,10005.06
2026-01-15 03:23:45,AI_FLIP_SELL,97558.95,0.6001,0.33,10005.39
2026-01-15 03:24:56,OPEN_LONG,97448.72,0.6054,0.00,10005.39
2026-01-15 03:32:39,AI_FLIP_SELL,97477.81,0.6035,0.30,10005.68
2026-01-15 03:56:43,OPEN_SHORT,97364.3,0.6047,0.00,10005.68
2026-01-15 04:10:50,TAKE_PROFIT,96890.0,0.3607,4.87,10010.56
2026-01-15 04:16:32,OPEN_LONG,97080.4,0.6160,0.00,10010.56
2026-01-15 04:26:49,STOP_LOSS,96784.46,0.4818,-3.05,10007.51
2026-01-15 04:33:49,OPEN_SHORT,97089.59,0.6090,0.00,10007.51
2026-01-15 04:45:23,STOP_LOSS,97307.49,0.4402,-2.24,10005.26
2026-01-15 04:50:08,OPEN_LONG,97174.43,0.6066,0.00,10005.26
2026-01-15 04:57:54,AI_FLIP_SELL,97061.11,0.6034,-1.17,10004.10
2026-01-15 04:59:38,OPEN_SHORT,97010.76,0.6237,0.00,10004.10
2026-01-15 05:01:45,AI_FLIP_BUY,96914.51,0.6077,0.99,10005.09
2026-01-15 05:01:50,OPEN_SHORT,96922.43,0.6032,0.00,10005.09
2026-01-15 05:26:13,AI_FLIP_BUY,97015.16,0.6132,-0.96,10004.13
2026-01-15 05:37:04,OPEN_LONG,96894.01,0.6095,0.00,10004.13
2026-01-15 05:59:22,STOP_LOSS,96693.75,0.5363,-2.07,10002.07
2026-01-15 06:03:20,OPEN_SHORT,96606.37,0.6016,0.00,10002.07
2026-01-15 06:09:26,AI_FLIP_BUY,96551.19,0.6179,0.57,10002.64
2026-01-15 06:21:10,OPEN_SHORT,96549.57,0.6035,0.00,10002.64
2026-01-15 06:21:45,AI_FLIP_BUY,96530.63,0.6343,0.20,10002.83
2026-01-15 06:24:21,OPEN_SHORT,96541.05,0.6053,0.00,10002.83
2026-01-15 06:30:26,STOP_LOSS,96738.5,0.4033,-2.05,10000.79
2026-01-15 06:31:15,OPEN_LONG,96742.06,0.6074,0.00,10000.79
2026-01-15 06:52:26,STOP_LOSS,96548.01,0.4006,-2.01,9998.78
2026-01-15 06:55:02,OPEN_LONG,96520.95,0.6664,0.00,9998.78
2026-01-15 07:02:25,STOP_LOSS,96327.08,0.5600,-2.01,9996.77
2026-01-15 07:04:17,OPEN_LONG,96363.52,0.6148,0.00,9996.77
2026-01-15 07:16:13,AI_FLIP_SELL,96518.0,0.6029,1.60,9998.38
2026-01-15 07:17:00,OPEN_LONG,96503.61,0.6028,0.00,9998.38
2026-01-15 07:22:42,AI_FLIP_SELL,96531.54,0.6158,0.29,9998.67
2026-01-15 07:25:53,OPEN_LONG,96423.29,0.6231,0.00,9998.67
2026-01-15 07:38:05,AI_FLIP_SELL,96573.28,0.6019,1.56,10000.22
2026-01-15 07:38:12,OPEN_LONG,96573.52,0.6061,0.00,10000.22
2026-01-15 07:41:25,AI_FLIP_SELL,96529.45,0.6104,-0.46,9999.76
2026-01-15 07:53:48,OPEN_LONG,96440.79,0.6032,0.00,9999.76
2026-01-15 08:04:50,AI_FLIP_SELL,96424.9,0.6009,-0.16,9999.60
2026-01-15 08:05:35,OPEN_LONG,96298.91,0.6165,0.00,9999.60
2026-01-15 08:18:51,AI_FLIP_SELL,96256.18,0.6041,-0.44,9999.16
2026-01-15 08:23:22,OPEN_LONG,96217.72,0.6209,0.00,9999.16
2026-01-15 08:35:52,AI_FLIP_SELL,96371.33,0.6065,1.60,10000.75
2026-01-15 08:36:19,OPEN_SHORT,96329.42,0.6113,0.00,10000.75
2026-01-15 08:41:25,AI_FLIP_BUY,96292.49,0.6010,0.38,10001.14
2026-01-15 08:48:51,OPEN_SHORT,96247.69,0.6214,0.00,10001.14
2026-01-15 09:00:31,AI_FLIP_BUY,96010.62,0.6128,2.46,10003.60
2026-01-15 09:08:21,OPEN_SHORT,95940.01,0.6077,0.00,10000.00
2026-01-15 09:11:42,TRAILING_STOP,95893.4,0.4782,0.49,10000.49
2026-01-15 09:15:40,OPEN_LONG,95842.02,0.6009,0.00,10000.49
2026-01-15 09:21:37,TRAILING_STOP,95858.87,0.4242,0.18,10000.66
2026-01-15 09:55:03,OPEN_LONG,96362.62,0.6024,0.00,10000.66
2026-01-15 10:27:40,STOP_LOSS,96155.61,0.4326,-2.15,9998.51
2026-01-15 12:47:08,OPEN_LONG,96337.34,0.6067,0.00,9998.51
2026-01-15 12:54:44,AI_FLIP_SELL,96489.18,0.6014,1.58,10000.09
2026-01-15 15:30:11,OPEN_SHORT,97066.31,0.6045,0.00,10000.09
2026-01-15 16:20:29,AI_FLIP_BUY,96810.02,0.6014,2.64,10002.73
2026-01-15 18:13:53,OPEN_LONG,96743.38,0.6034,0.00,10002.73
2026-01-15 18:47:43,AI_FLIP_SELL,96935.56,0.6076,1.99,10004.72
2026-01-15 19:16:28,OPEN_LONG,96859.65,0.6147,0.00,10004.72
2026-01-15 19:23:23,TRAILING_STOP,96900.01,0.5697,0.42,10005.13
2026-01-15 19:47:37,OPEN_LONG,97021.37,0.6094,0.00,10005.13
2026-01-15 19:49:34,BOREDOM_EXIT,97019.97,0.5066,-0.01,10005.12
2026-01-15 20:00:30,OPEN_LONG,96758.24,0.6045,0.00,10005.12
2026-01-15 20:01:41,AI_FLIP_SELL,96783.61,0.6165,0.26,10005.38
2026-01-15 20:01:48,OPEN_LONG,96750.98,0.6136,0.00,10005.38
2026-01-15 20:04:52,STOP_LOSS,96550.0,0.4580,-2.08,10003.30
2026-01-15 20:05:01,OPEN_SHORT,96551.02,0.6049,0.00,10003.30
2026-01-15 20:08:50,AI_FLIP_BUY,96203.68,0.6027,3.60,10006.90
2026-01-15 20:10:37,OPEN_LONG,96122.34,0.6116,0.00,10006.90
2026-01-15 20:11:16,AI_FLIP_SELL,96172.34,0.6081,0.52,10007.42
2026-01-15 20:12:56,OPEN_SHORT,96026.46,0.6125,0.00,10007.42
2026-01-15 20:17:20,TAKE_PROFIT,95616.77,0.3573,4.27,10011.69
2026-01-15 20:20:24,OPEN_LONG,95994.49,0.6013,0.00,10011.69
2026-01-15 20:21:11,TRAILING_STOP,96038.55,0.4813,0.46,10012.15
2026-01-15 20:25:05,OPEN_LONG,96276.35,0.6348,0.00,10012.15
2026-01-15 20:25:49,AI_FLIP_SELL,96397.14,0.6206,1.25,10013.40
2026-01-15 20:30:01,OPEN_LONG,96056.76,0.6030,0.00,10013.40
2026-01-15 20:31:03,AI_FLIP_SELL,96219.0,0.6065,1.69,10015.09
2026-01-15 20:32:47,OPEN_LONG,96259.61,0.6160,0.00,10015.09
2026-01-15 20:33:58,AI_FLIP_SELL,96150.67,0.6221,-1.13,10013.96
2026-01-15 20:35:09,OPEN_LONG,96120.5,0.6072,0.00,10013.96
2026-01-15 20:38:10,STOP_LOSS,95925.92,0.5754,-2.02,10011.93
2026-01-15 20:38:42,OPEN_LONG,96009.57,0.6043,0.00,10011.93
2026-01-15 20:47:30,TAKE_PROFIT,96396.4,0.4601,4.03,10015.96
2026-01-15 20:55:40,OPEN_LONG,95858.42,0.6139,0.00,10015.96
2026-01-15 20:58:26,TRAILING_STOP,95904.98,0.4950,0.49,10016.45
2026-01-15 21:08:11,OPEN_LONG,95832.56,0.6210,0.00,10016.45
2026-01-15 21:08:53,STOP_LOSS,95612.67,0.4845,-2.29,10014.15
2026-01-15 21:16:44,OPEN_SHORT,95722.23,0.6004,0.00,10014.15
2026-01-15 21:19:38,AI_FLIP_BUY,95473.99,0.6183,2.59,10016.75
2026-01-15 21:20:28,OPEN_LONG,95588.64,0.6127,0.00,10016.75
2026-01-15 21:21:36,TRAILING_STOP,95627.56,0.4564,0.41,10017.16
2026-01-15 21:27:51,OPEN_LONG,96227.96,0.6029,0.00,10017.16
2026-01-15 21:28:44,TAKE_PROFIT,96659.09,0.5439,4.48,10021.64
2026-01-15 21:40:56,OPEN_LONG,96361.21,0.6248,0.00,10021.64
2026-01-15 21:48:03,TRAILING_STOP,96401.98,0.4349,0.42,10022.06
2026-01-15 21:48:33,OPEN_SHORT,96462.11,0.6008,0.00,10022.06
2026-01-15 21:50:10,AI_FLIP_BUY,96443.18,0.6307,0.20,10022.26
2026-01-15 22:31:28,OPEN_LONG,96812.27,0.6497,0.00,10022.26
2026-01-15 22:35:14,BOREDOM_EXIT,96683.67,0.4820,-1.33,10020.93
2026-01-15 22:37:10,OPEN_LONG,96590.3,0.6179,0.00,10020.93
2026-01-15 22:41:02,BOREDOM_EXIT,96569.62,0.5146,-0.21,10020.71
2026-01-15 23:20:30,OPEN_LONG,96828.01,0.6023,0.00,10020.71
2026-01-15 23:25:44,STOP_LOSS,96630.77,0.5040,-2.04,10018.68
